Project Number,Project Title,Principal Investigator,Institution,Status,Research_Report_Title,Research_Report_URL,Year,Duration (months),Funding (HK$),Major Themes,Empirical_Data_URL
2017.A4.039.17C,"Investigating the Preference, Attitude and Perception of Frail Older People on Consumer-directed Long-term Care in Hong Kong",Prof YEOH Eng Kiong,The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A4.039.17C_Final Report_Prof Yeoh.pdf,2017-18 (Third Round),15,490907,Livelihood Issues,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2017.A4.039.17C.zip
2017.A8.062.17C,"Opening Doors, Creating Pathways - A Qualitative Study of Social Harms and Service Access of Young People from Ethnic Minority Backgrounds in Hong Kong","Prof Karen A.
 Joe LAIDLER",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A8.062.17C_Final Report_Prof Laidler.pdf,2017-18 (Third Round),20,400000,Livelihood Issues,
2017.A8.064.17C,Financial Inclusion and Bank Account Opening: Deploying Financial Technology and Regulatory Technology for Improving Banking Services Accessibility Inside Hong Kong’s Anti-Money Laundering Law,"Dr LEE Hsiang Hui, Emily",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A8.064.17C_Final Report_Dr Lee.pdf,2017-18 (Third Round),25,295550,Economic Development,
2017.A4.040.17D,Tracking the Future: The Perception of Future and Aspirations of Hong Kong Youth,"Prof FUNG Ying Him,
Anthony",The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A4.040.17D_Final Report_Prof Fung.pdf,2017-18 (Fourth Round),12,345000,Youth Development,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2017.A4.040.17D.zip
2017.A5.029.17D,Global Governance Hub: A New Dimension in Hong Kong's Global City Strategy?,Prof LUI Tai Lok,The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A5.029.17D_Final Report_Prof Lui.pdf,2017-18 (Fourth Round),22,957766,Political Development and Governance,
2017.A5.032.17D.A6,"Family Policies, Social Norms and Fertility Decisions: A Survey Experiment","Dr LUI Ching Wu, Lake",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A5.032.17D.A6_Final Report_Dr Lui.pdf,2017-18 (Fourth Round),18,764750,Livelihood Issues,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2017.A5.032.17D.A6.zip
2017.A6.094.17D,Clear up Toxic Smog and Improve Air Quality in Hong Kong,Prof GUO Hai,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A6.094.17D_Final Report_Prof Guo.pdf,2017-18 (Fourth Round),18,498410,Environmental Protection,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2017.A6.094.17D.zip
2017.A1.057.18A,Investigating the Feasibility of Mandatory Implementation of Life Cycle Assessment on Renewable Energy Systems for Green Building Design in Hong Kong,"Dr CHAN Lok Shun, Apple",City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A1.057.18A_Final Report_Dr Chan.pdf,2018-19 (First Round),12,320000,Environmental Protection,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2017.A1.057.18A.zip
2017.A5.031.18A,Career and Life Planning for Hong Kong Youth Development: Challenges and Opportunities,"Dr SZETO Sing Ying, Elson",The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A5.031.18A_Final Report_Dr Szeto.pdf,2018-19 (First Round),15,499627,Youth Development,
2017.A6.091.18A,The Possibility of Reducing Illuminance Level by Using LED Lighting Products with High Colour Rendering Index for Energy Reduction in Green Buildings,Dr WEI Minchen,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A6.091.18A_Final Report_Dr Wei.pdf,2018-19 (First Round),12,306691,Environmental Protection,
